timestamp,open,high,low,close,volume
2020-07-27,238.04,239.3,237.8,239.15,12683.0
2020-07-28,238.41,238.77,237.09,237.38,7363.0
2020-07-29,237.59,239.21,237.33,238.75,13935.0
2020-07-30,235.84,237.26,233.83,236.78,22961.0
2020-07-31,237.16,237.77,234.05,237.74,17664.0
2020-08-03,238.87,240.23,238.82,239.85,14098.0
2020-08-04,239.64,241.35,239.58,241.35,12222.0
2020-08-05,242.8,244.86,242.8,244.65,10690.0
2020-08-06,244.5,246.42,244.5,246.37,9501.0
2020-08-07,245.85,247.09,245.31,246.99,12178.0
2020-08-10,247.93,250.24,247.93,250.21,8640.0
2020-08-11,252.73,253.35,248.9,249.23,18511.0
2020-08-12,251.7,252.42,250.68,251.83,14418.0
2020-08-13,251.11,251.86,250.4,251.18,5941.0
2020-08-14,250.08,251.7,250.08,251.43,11300.0
2020-08-17,251.81,251.82,250.47,250.82,12558.0
2020-08-18,250.78,250.85,249.43,250.2,5397.0
2020-08-19,251.4,251.47,249.19,249.6,10263.0
2020-08-20,248.42,250.06,248.4,249.95,7930.0
2020-08-21,249.73,251.91,249.58,251.84,8841.0
2020-08-24,253.2,255.28,252.95,255.28,13777.0
2020-08-25,255.54,255.54,253.39,254.7,21004.0
2020-08-26,254.36,255.57,253.9,255.41,18669.0
2020-08-27,256.47,258.1,255.93,256.89,13498.0
2020-08-28,257.97,259.07,256.98,258.43,24114.0
2020-08-31,257.95,257.95,256.25,256.36,17054.0
2020-09-01,255.83,258.57,255.77,258.52,16261.0
2020-09-02,259.53,263.18,259.53,262.53,15359.0
2020-09-03,262.75,263.19,253.45,255.4,31625.0
2020-09-04,256.47,257.32,250.14,253.97,47351.0
2020-09-08,250.28,251.08,248.13,248.31,22009.0
2020-09-09,250.65,254.46,250.32,252.3,11139.0
2020-09-10,253.54,254.07,247.81,248.63,15563.0
2020-09-11,250.04,251.19,248.28,249.86,18725.0
2020-09-14,251.5,253.64,251.17,252.74,19572.0
2020-09-15,254.7,254.89,252.26,252.83,12448.0
2020-09-16,253.41,256.02,253.14,253.21,5170.0
2020-09-17,250.44,253.19,250.28,252.08,14818.0
2020-09-18,251.91,251.94,248.56,249.8,13670.0
2020-09-21,245.28,245.62,241.41,245.18,26591.0
2020-09-22,245.42,246.72,243.75,246.42,31654.0
2020-09-23,247.81,247.81,241.36,241.68,26581.0
2020-09-24,241.05,244.71,239.89,242.17,16403.0
2020-09-25,241.47,245.91,241.02,245.43,13210.0
2020-09-28,249.18,250.22,248.84,248.87,4933.0
2020-09-29,248.93,249.11,247.09,247.9,6374.0
2020-09-30,250.02,253.02,249.48,251.04,16399.0
2020-10-01,252.57,253.28,250.0,251.27,17341.0
2020-10-02,248.12,251.52,248.12,249.96,20364.0
2020-10-05,252.65,254.32,252.27,254.19,6548.0
2020-10-06,255.0,256.07,250.8,250.8,24024.0
2020-10-07,253.38,256.25,253.38,255.54,12225.0
2020-10-08,256.85,257.08,255.49,256.83,10903.0
2020-10-09,258.06,259.04,257.06,258.3,8248.0
2020-10-12,259.25,261.21,259.25,260.53,6878.0
2020-10-13,259.61,259.96,258.54,259.09,30525.0
2020-10-14,259.94,259.94,257.27,257.65,7787.0
2020-10-15,255.46,257.65,255.17,257.53,10348.0
2020-10-16,259.19,259.98,258.41,258.49,5206.0
2020-10-19,259.13,259.26,254.47,254.76,10669.0
2020-10-20,256.95,258.07,255.38,255.76,18116.0
2020-10-21,255.59,256.85,254.87,254.87,8181.0
2020-10-22,255.17,256.76,253.73,256.43,13288.0
2020-10-23,256.85,256.85,254.8,256.15,5194.0
2020-10-26,253.35,253.35,247.53,250.25,32157.0
2020-10-27,250.2,250.24,248.2,248.27,5285.0
2020-10-28,243.13,243.8,239.56,239.69,37839.0
2020-10-29,239.42,242.97,237.77,240.88,17052.0
2020-10-30,239.72,240.65,236.43,239.71,42110.0
2020-11-02,243.05,244.12,241.7,243.29,13921.0
2020-11-03,246.34,249.53,246.07,248.29,19045.0
2020-11-04,250.19,255.55,249.34,251.63,24688.0
2020-11-05,255.35,257.46,255.14,256.59,22245.0
2020-11-06,256.55,256.76,255.27,255.99,13159.0
2020-11-09,270.25,270.45,263.37,263.45,76665.0
2020-11-10,265.14,266.27,263.66,266.09,12393.0
2020-11-11,267.13,267.13,264.88,265.9,11517.0
2020-11-12,264.43,265.02,261.49,263.08,13633.0
2020-11-13,265.19,267.45,264.43,266.76,19381.0
2020-11-16,269.86,271.09,269.21,271.09,31942.0
2020-11-17,267.88,270.27,267.22,269.59,13902.0
2020-11-18,270.25,270.92,266.47,266.47,16596.0
2020-11-19,265.66,267.3,264.97,266.99,9838.0
2020-11-20,266.54,266.73,264.91,264.96,12647.0
2020-11-23,266.62,268.66,266.11,268.0,55470.0
2020-11-24,270.83,272.59,270.26,272.13,15948.0
2020-11-25,271.51,271.51,270.11,270.69,16667.0
2020-11-27,271.24,271.28,270.32,271.05,5944.0
2020-11-30,269.51,269.59,267.21,268.8,10880.0
2020-12-01,271.49,272.32,270.23,270.29,16355.0
2020-12-02,268.74,271.01,268.74,270.96,10131.0
2020-12-03,271.58,272.88,271.05,271.54,12644.0
2020-12-04,272.51,274.07,272.51,274.07,20056.0
