# intraday sessions v1 — one row per complete regular session; the rules, the null and trial 3 run from this file anywhere
# {"symbol": "SPY", "timeframe": "1m", "provenance": {"source": "alpaca", "fetched_at": "2026-09-03T18:45:53+00:00", "adjusted": null, "path": "/Users/danielalba/Desktop/ca/tools/market/bars/SPY-1m.csv"}, "skipped": {"202 bars": 1, "185 bars": 1, "300 bars": 1, "233 bars": 1, "214 bars": 1, "206 bars": 1, "212 bars": 1, "207 bars": 1, "204 bars": 2, "47 bars": 1, "215 bars": 1, "213 bars": 2}, "sessions": 1518, "measured_by": "intraday.measure v1", "exported_at": "2026-09-04T02:44:31+00:00"}
date,r_first30,r_open_to_1530,open_1530,last_print,fill_slipped,exit_time
2020-07-27,0.003109211037699122,0.004850369218810657,323.21,323.26,0,15:59
2020-07-28,-0.0021080695662957227,-0.0017670583129243411,322.0,321.24,0,15:59
2020-07-29,0.002048925866136697,0.009592698373277031,325.16,325.16,0,15:59
2020-07-30,-0.005191010537440421,0.007568928538124409,324.23,323.96,0,15:59
2020-07-31,-0.003682111077017436,-0.003896900889843402,324.74,326.54,0,15:59
2020-08-03,1.522765341865906e-05,0.001857773717069966,328.99,328.76,0,15:59
2020-08-04,0.0015084564985525795,0.0030016760627762373,329.145,330.0,0,15:59
2020-08-05,0.0014030111939171697,0.0010560299309054777,331.84,332.08,0,15:59
2020-08-06,0.00241356423097816,0.0079949315151151,334.145,334.28,0,15:59
2020-08-07,0.0022654984096501796,0.00018003960871393332,333.325,334.6,0,15:59
2020-08-10,0.00016415215412401984,0.0007312232320066947,335.3,335.52,0,15:59
2020-08-11,-0.0016619676509868064,-0.006499480635109078,334.72,332.92,0,15:59
2020-08-12,0.002414666865404591,0.007795498583991645,338.075,337.42,0,15:59
2020-08-13,0.0035347234598703814,0.0015445850412878492,337.17,336.88,0,15:59
2020-08-14,0.0006092849075671758,-0.0006538667300718393,335.985,336.86,0,15:59
2020-08-17,-0.0002663155247154547,-8.877184157174423e-05,337.93,337.86,0,15:59
2020-08-18,0.00011822077730161418,0.001359538938968452,338.71,338.63,0,15:59
2020-08-19,-0.0006636287218511061,-0.003391880133905678,337.89,337.28,0,15:59
2020-08-20,0.003995348698530243,0.007841617221741926,337.995,338.22,0,15:59
2020-08-21,0.0021454782196967948,0.004631273674242431,339.44,339.44,0,15:59
2020-08-24,-0.0008914740011106703,-0.0007599450501271088,341.895,342.97,0,15:59
2020-08-25,-0.000538502961766274,0.0014845216783827553,344.055,344.12,0,15:59
2020-08-26,-8.702210361444251e-05,0.008629691941753004,347.72,347.61,0,15:59
2020-08-27,0.0021949015163469365,0.0025678913165105843,349.47,348.32,0,15:59
2020-08-28,-0.0006868131868131844,0.0027329441391941156,350.36,350.54,0,15:59
2020-08-31,-0.0010846296560582669,0.00038532895675746914,350.475,349.34,0,15:59
2020-09-01,0.0007424222955125792,0.003754943533073485,351.56,352.59,0,15:59
2020-09-02,-0.0026503510305354583,0.008402176671271855,357.74,357.71,0,15:59
2020-09-03,-0.00022478855826235655,-0.036190957880243846,342.88,345.42,0,15:59
2020-09-04,-0.0071428571428572285,-0.0018218623481781604,344.88,342.61,0,15:59
2020-09-08,-0.00019306739537228168,-0.004900941574836004,335.01,333.26,0,15:59
2020-09-09,0.0015402387370042625,0.01353632890021017,342.24,339.9,0,15:59
2020-09-10,-0.0006582219231781039,-0.022701342772723287,333.88,334.0,0,15:59
2020-09-11,-0.005181655747468761,-0.0031566408576533256,334.77,334.02,0,15:59
2020-09-14,0.003747481929138541,0.0021922028676384375,338.35,338.42,0,15:59
2020-09-15,0.0009522972339428559,-0.0037505860290669712,339.98,340.15,0,15:59
2020-09-16,-0.000687939110070257,-0.0058255269320843794,339.54,338.81,0,15:59
2020-09-17,0.004496807266840541,0.0003897232964595876,333.56,335.87,0,15:59
2020-09-18,-0.004800524777863968,-0.01237402349573613,331.16,330.55,0,15:59
2020-09-21,-0.0014431343650209705,-0.0020879390813067777,325.01,327.0,0,15:59
2020-09-22,-0.003302389286257923,0.005052503424136212,330.245,330.27,0,15:59
2020-09-23,-0.003188226228071356,-0.022015382058294564,323.61,322.67,0,15:59
2020-09-24,0.00305096354409895,0.0030820958251611685,322.21,323.53,0,15:59
2020-09-25,0.0024791595649076292,0.020375592674083398,329.3,328.73,0,15:59
2020-09-28,-0.0018005581730337061,0.004021246586441762,334.595,334.16,0,15:59
2020-09-29,-0.0002694852831093275,-0.0025301673803036495,333.04,332.45,0,15:59
2020-09-30,0.0055366333068254114,0.0030609029663750675,334.11,334.9,0,15:59
2020-10-01,-0.0026802505515984842,-0.004634908412432748,336.03,337.08,0,15:59
2020-10-02,0.007268230894505123,0.010404728873876667,334.87,333.82,0,15:59
2020-10-05,0.001606808105454327,0.011098878209896856,339.81,339.72,0,15:59
2020-10-06,-0.0014121385072519699,-0.011135300520726199,336.12,334.92,0,15:59
2020-10-07,0.0026617768839465317,0.009419732639299738,341.32,340.72,0,15:59
2020-10-08,0.0006561871154016075,0.0020123071538977744,343.61,343.74,0,15:59
2020-10-09,-0.00015916884920919028,0.0038345222764040177,346.88,346.84,0,15:59
2020-10-12,-0.0004719679633867768,0.010583524027459879,353.37,352.37,0,15:59
2020-10-13,-0.001518376614162098,-0.003221228891727157,351.25,350.18,0,15:59
2020-10-14,0.0026800478987283327,-0.00578776301533912,348.67,347.88,0,15:59
