timestamp,open,high,low,close,volume
2020-07-27,14.82,14.94,14.66,14.88,743562.0
2020-07-28,14.8,14.93,14.59,14.62,575916.0
2020-07-29,14.67,14.94,14.58,14.94,414934.0
2020-07-30,14.59,14.61,14.24,14.35,735154.0
2020-07-31,14.12,14.3,13.99,14.3,516012.0
2020-08-03,14.25,14.41,14.19,14.34,748340.0
2020-08-04,14.27,14.71,14.27,14.66,780368.0
2020-08-05,14.98,15.01,14.71,14.83,669474.0
2020-08-06,14.69,14.89,14.66,14.71,438474.0
2020-08-07,14.53,14.77,14.43,14.73,308608.0
2020-08-10,14.83,15.19,14.82,15.19,972590.0
2020-08-11,15.56,15.67,15.08,15.13,516918.0
2020-08-12,15.39,15.47,15.13,15.29,418812.0
2020-08-13,15.16,15.29,14.96,14.99,304616.0
2020-08-14,14.87,15.16,14.82,15.14,422496.0
2020-08-17,15.12,15.12,14.97,15.06,555080.0
2020-08-18,14.99,15.13,14.82,14.85,558822.0
2020-08-19,14.76,14.91,14.65,14.69,565256.0
2020-08-20,14.49,14.56,14.38,14.38,694398.0
2020-08-21,14.3,14.34,14.15,14.28,1126924.0
2020-08-24,14.38,14.77,14.28,14.66,854472.0
2020-08-25,14.74,14.77,14.4,14.47,476534.0
2020-08-26,14.43,14.43,14.15,14.16,1013720.0
2020-08-27,14.19,14.27,14.02,14.2,762650.0
2020-08-28,14.28,14.48,14.18,14.46,423470.0
2020-08-31,14.47,14.47,14.14,14.14,616496.0
2020-09-01,14.03,14.09,13.86,14.03,529486.0
2020-09-02,13.98,14.11,13.88,13.98,574574.0
2020-09-03,13.94,14.22,13.79,13.88,1087912.0
2020-09-04,13.99,14.1,13.66,13.82,570522.0
2020-09-08,13.56,13.62,13.17,13.31,1486742.0
2020-09-09,13.45,13.54,13.37,13.4,665444.0
2020-09-10,13.45,13.46,12.91,12.92,1207432.0
2020-09-11,12.9,13.01,12.83,12.93,586486.0
2020-09-14,12.95,13.15,12.88,13.04,612122.0
2020-09-15,13.08,13.23,12.9,12.94,731212.0
2020-09-16,13.03,13.62,12.95,13.44,1239762.0
2020-09-17,13.21,13.48,13.12,13.47,911140.0
2020-09-18,13.38,13.46,13.19,13.33,732666.0
2020-09-21,12.94,13.02,12.66,12.88,1859906.0
2020-09-22,12.88,13.09,12.72,12.75,433690.0
2020-09-23,12.75,12.83,12.16,12.16,716104.0
2020-09-24,12.07,12.38,11.9,12.17,1078666.0
2020-09-25,11.99,12.25,11.97,12.16,752530.0
2020-09-28,12.41,12.58,12.37,12.44,677218.0
2020-09-29,12.41,12.41,11.99,12.11,541278.0
2020-09-30,12.19,12.31,12.01,12.08,758914.0
2020-10-01,11.88,11.98,11.62,11.7,516210.0
2020-10-02,11.38,11.9,11.38,11.81,1058526.0
2020-10-05,11.94,12.16,11.89,12.16,791622.0
2020-10-06,12.34,12.41,11.96,11.97,1039110.0
2020-10-07,12.01,12.18,11.91,12.15,1050588.0
2020-10-08,12.24,12.61,12.21,12.6,1392956.0
2020-10-09,12.72,12.74,12.39,12.4,572318.0
2020-10-12,12.35,12.48,12.24,12.43,278776.0
2020-10-13,12.38,12.51,12.21,12.24,663106.0
2020-10-14,12.27,12.58,12.26,12.29,976342.0
2020-10-15,12.07,12.45,11.98,12.44,1292452.0
2020-10-16,12.38,12.4,12.14,12.16,672974.0
2020-10-19,12.2,12.25,11.9,11.9,1944336.0
2020-10-20,11.98,12.14,11.89,12.06,499654.0
2020-10-21,11.91,12.03,11.83,11.83,857782.0
2020-10-22,11.81,12.32,11.76,12.3,814244.0
2020-10-23,12.38,12.43,12.09,12.24,505492.0
2020-10-26,12.03,12.05,11.69,11.8,934196.0
2020-10-27,11.75,11.78,11.63,11.65,388222.0
2020-10-28,11.35,11.43,11.1,11.16,741938.0
2020-10-29,11.01,11.54,10.87,11.51,1284196.0
2020-10-30,11.44,11.58,11.3,11.57,1673844.0
2020-11-02,11.73,12.12,11.53,11.96,1009736.0
2020-11-03,12.16,12.16,11.8,11.89,735974.0
2020-11-04,11.82,12.19,11.61,11.91,1179654.0
2020-11-05,11.91,12.14,11.9,11.9,763992.0
2020-11-06,11.91,12.09,11.61,11.65,1628556.0
2020-11-09,13.05,13.61,13.03,13.32,2917884.0
2020-11-10,13.59,13.73,13.29,13.73,3179626.0
2020-11-11,13.9,13.9,13.48,13.61,2463472.0
2020-11-12,13.36,13.56,13.03,13.16,1261904.0
2020-11-13,13.28,13.71,13.27,13.66,1676210.0
2020-11-16,14.27,14.57,14.06,14.56,1021504.0
2020-11-17,14.33,14.7,14.18,14.7,905554.0
2020-11-18,14.8,14.87,14.27,14.27,1024236.0
2020-11-19,14.09,14.53,14.03,14.5,1056072.0
2020-11-20,14.47,14.51,14.33,14.42,398898.0
2020-11-23,14.67,15.46,14.67,15.45,1204718.0
2020-11-24,15.96,16.28,15.83,16.24,1416638.0
2020-11-25,16.01,16.05,15.78,15.86,817586.0
2020-11-27,15.77,15.89,15.55,15.66,420490.0
2020-11-30,15.47,15.52,14.78,14.82,1171818.0
2020-12-01,15.25,15.3,14.86,14.89,956408.0
2020-12-02,14.79,15.6,14.79,15.36,1358040.0
2020-12-03,15.43,15.71,15.28,15.53,994224.0
2020-12-04,15.82,16.37,15.81,16.37,2361504.0
2020-12-07,16.15,16.21,15.83,15.98,875366.0
2020-12-08,15.8,16.38,15.8,16.23,978444.0
2020-12-09,16.41,16.65,16.07,16.29,1824292.0
2020-12-10,16.29,16.95,16.29,16.76,1478706.0
2020-12-11,16.59,16.64,16.34,16.56,739200.0
2020-12-14,16.77,16.81,15.93,15.98,1454238.0
2020-12-15,16.08,16.38,15.93,16.29,1214524.0
2020-12-16,16.3,16.4,16.11,16.23,665922.0
2020-12-17,16.34,16.36,16.05,16.13,732850.0
2020-12-18,16.06,16.2,15.75,15.86,1897984.0
2020-12-21,15.24,15.7,15.12,15.58,1329160.0
2020-12-22,15.53,15.58,15.29,15.31,1042136.0
2020-12-23,15.45,15.86,15.45,15.65,1184806.0
2020-12-24,15.64,15.64,15.41,15.55,241162.0
2020-12-28,15.61,15.81,15.42,15.46,505338.0
2020-12-29,15.57,15.59,15.29,15.36,404616.0
2020-12-30,15.36,15.75,15.35,15.6,445870.0
2020-12-31,15.52,15.6,15.41,15.47,406430.0
2021-01-04,15.65,15.78,15.32,15.48,1007108.0
2021-01-05,15.65,16.61,15.65,16.2,1672766.0
2021-01-06,16.52,16.84,16.3,16.69,1119766.0
2021-01-07,16.77,17.1,16.67,16.93,768100.0
2021-01-08,17.1,17.13,16.79,16.92,721872.0
2021-01-11,16.56,17.24,16.45,17.18,586024.0
2021-01-12,17.35,17.87,17.27,17.78,1113676.0
2021-01-13,17.78,17.79,17.52,17.64,1131770.0
2021-01-14,17.75,18.37,17.75,18.17,1011576.0
2021-01-15,17.82,17.83,17.29,17.46,1225396.0
2021-01-19,17.67,17.92,17.61,17.8,677698.0
2021-01-20,17.95,17.97,17.7,17.88,651930.0
2021-01-21,17.78,17.84,17.1,17.26,1046172.0
2021-01-22,16.87,17.22,16.75,17.18,647368.0
2021-01-25,16.97,17.05,16.69,17.0,892442.0
2021-01-26,17.14,17.4,16.63,16.63,1126378.0
2021-01-27,16.36,16.85,16.17,16.39,1597268.0
2021-01-28,16.59,16.8,16.41,16.62,1075158.0
2021-01-29,16.36,16.57,16.0,16.06,1318436.0
2021-02-01,16.27,16.32,15.9,16.17,1128382.0
2021-02-02,16.56,16.73,16.34,16.35,1194030.0
2021-02-03,16.4,17.08,16.38,17.04,1293696.0
2021-02-04,17.17,17.23,16.86,17.23,878394.0
2021-02-05,17.49,17.56,17.32,17.37,1308722.0
2021-02-08,17.62,18.19,17.62,18.1,1274858.0
2021-02-09,17.96,18.02,17.68,17.9,843548.0
2021-02-10,18.03,18.27,17.86,18.24,753540.0
2021-02-11,18.07,18.16,17.59,17.99,988294.0
2021-02-12,17.85,18.25,17.82,18.25,682568.0
2021-02-16,18.66,18.9,18.57,18.7,1213702.0
2021-02-17,18.88,19.09,18.62,18.97,990950.0
2021-02-18,18.9,18.91,18.49,18.54,1231118.0
2021-02-19,18.6,18.92,18.55,18.86,1062870.0
2021-02-22,18.98,19.79,18.95,19.5,1903298.0
2021-02-23,19.7,19.89,19.0,19.82,1306098.0
2021-02-24,19.95,20.65,19.8,20.54,1216380.0
2021-02-25,20.7,20.7,20.0,20.13,1483374.0
2021-02-26,19.84,19.91,19.08,19.66,2106844.0
2021-03-01,20.2,20.44,20.03,20.17,863072.0
2021-03-02,20.2,20.39,20.05,20.06,1531646.0
2021-03-03,20.23,20.81,20.23,20.34,1827446.0
2021-03-04,20.52,21.21,20.35,20.83,1848876.0
2021-03-05,21.39,21.67,20.9,21.63,1978512.0
2021-03-08,21.84,21.94,21.35,21.66,1489884.0
2021-03-09,21.53,21.85,21.14,21.26,1621396.0
2021-03-10,21.29,21.89,21.22,21.79,1266424.0
2021-03-11,21.91,22.19,21.79,21.83,887944.0
2021-03-12,21.92,22.05,21.71,21.87,716516.0
2021-03-15,21.77,21.87,21.36,21.6,1102722.0
2021-03-16,21.22,21.28,20.88,20.99,1556750.0
2021-03-17,20.95,21.27,20.77,21.2,918894.0
2021-03-18,21.0,21.06,20.13,20.22,2428546.0
2021-03-19,20.25,20.55,19.95,20.23,1639690.0
2021-03-22,20.09,20.25,20.0,20.02,1180016.0
2021-03-23,19.59,20.18,19.51,19.72,1806472.0
2021-03-24,20.11,20.5,20.11,20.25,1803790.0
2021-03-25,19.8,20.36,19.58,20.29,1161842.0
2021-03-26,20.68,20.83,20.45,20.82,1121438.0
2021-03-29,20.6,20.74,20.31,20.55,647344.0
